Geneid	EDLARFE1	EDLARFE2	EDLARFE3	EDLARME1	EDLARME2	EDLARME3	EDLCIBFE1	EDLCIBFE2	EDLCIBFE3	EDLCIBME1	EDLCIBME2	EDLCIBME3	EDLCR6H1	EDLCR6H2	EDLCR6H3	EDLM9FE1	EDLM9FE2	EDLM9FE3	EDLM9ME1	EDLM9ME2	EDLM9ME3	MC2ARFE1	MC2ARFE2	MC2ARFE3
EDL933_RS00005	86	101	237	126	199	79	110	59	89	308	140	89	100	83	79	143	105	566	163	184	126	277	144	155
EDL933_RS00010	1059	924	3679	1186	1374	776	923	641	921	3102	768	673	469	740	738	1951	1766	12383	5604	4120	2046	2717	2018	1990
EDL933_RS00015	388	382	1189	629	554	363	524	286	521	1341	405	402	273	473	400	1003	929	6355	3588	2387	1228	1027	751	801
EDL933_RS00020	408	460	1031	715	727	506	535	301	488	1448	448	391	282	474	422	936	824	5476	4275	3151	1624	1202	792	820
EDL933_RS00025	17	46	106	76	86	53	73	5	58	76	25	103	66	79	24	23	16	220	376	243	117	125	77	50
EDL933_RS00030	38	102	300	431	201	292	233	14	114	207	72	697	145	153	74	41	26	355	384	312	158	423	324	248
EDL933_RS29140	32	99	403	554	144	416	225	31	88	200	75	869	83	89	78	24	17	187	94	132	57	470	417	351
EDL933_RS00035	214	410	1969	2445	851	2172	862	140	382	679	403	3126	315	323	306	106	101	756	228	324	148	1818	1777	1681
EDL933_RS00040	6	28	43	69	52	67	166	58	282	230	119	146	389	312	124	63	55	378	122	125	48	111	56	76
EDL933_RS00045	964	1462	3243	3401	2793	2923	3156	1432	3990	4638	5065	4478	2971	3364	1524	1100	1103	6701	1603	1842	1023	4097	2812	3063
EDL933_RS00050	65	140	338	297	271	281	496	218	1271	878	368	551	1235	1332	358	174	143	919	278	316	147	438	333	356
EDL933_RS00055	57	120	296	121	181	140	294	93	1106	556	76	209	1010	927	230	133	155	903	396	417	278	237	178	184
EDL933_RS00060	3	10	35	18	29	29	31	15	189	46	21	29	222	211	23	13	29	125	38	28	9	29	33	33
EDL933_RS00065	2	5	27	9	13	10	12	10	64	21	7	13	83	109	8	10	6	82	24	20	5	15	20	16
EDL933_RS00070	2324	2502	4139	4733	5042	4366	12597	23703	34095	15055	10653	11902	19099	20759	24979	2511	2090	16332	1721	2776	2071	14007	10451	9848
EDL933_RS00075	650	567	1085	762	1045	816	2291	1955	4514	3028	887	2170	2955	3069	3659	605	530	4291	630	776	584	2752	2364	2198
EDL933_RS00080	466	596	1966	634	909	394	2971	826	1867	1068	1203	1187	1039	1385	2179	689	619	3931	730	645	545	2065	1352	1766
EDL933_RS00085	100	220	488	239	372	254	1104	476	4619	2175	991	1314	3501	4647	1079	2957	2589	15915	1453	1717	842	1297	895	908
EDL933_RS00090	42	90	232	154	155	139	607	236	3117	853	635	641	2701	3136	601	1536	1562	8855	771	949	440	644	386	451
EDL933_RS00095	5	13	26	30	22	30	69	21	431	97	44	52	547	548	60	158	153	971	84	82	46	97	61	59
EDL933_RS00100	2	0	4	4	0	3	0	1	19	8	1	4	59	61	2	9	4	29	12	10	6	4	2	11
EDL933_RS00105	5	18	14	8	5	19	22	2	72	40	15	12	66	57	10	13	19	81	37	59	18	28	10	42
EDL933_RS00110	3	8	13	6	4	1	4	6	12	19	6	1	15	26	2	3	2	25	15	14	6	3	3	9
EDL933_RS00115	2	7	25	4	5	8	8	1	15	40	9	7	15	12	4	6	7	22	29	22	6	15	3	8
EDL933_RS00120	1	12	22	12	5	16	19	5	33	68	2	6	58	60	2	14	10	40	91	47	17	39	10	29
EDL933_RS00125	695	1161	1905	2185	2572	1542	6621	1011	4957	8143	1633	6024	4875	4652	5556	3575	2337	16686	6868	6048	7060	3133	1778	1937
EDL933_RS00130	358	482	914	1039	1090	753	3781	495	3057	4698	898	3267	2870	2698	2799	1646	1089	8613	3464	3176	2354	1484	1028	992
EDL933_RS00135	380	555	1428	1040	1016	836	2218	735	2051	3523	1266	2187	2012	2218	1575	1765	1444	9823	2352	2530	1155	1914	1471	1581
EDL933_RS00140	1658	2350	5702	4257	4245	3425	7470	2435	3689	12065	4451	8480	3158	4265	4753	4983	4416	31039	8496	9201	4344	7536	5895	6398
EDL933_RS00145	284	397	1024	855	713	572	1363	383	1269	2105	687	1514	1360	1712	847	902	822	5325	1752	1864	811	1302	1014	1148
EDL933_RS00150	209	309	894	509	628	398	1036	305	1088	1538	396	926	1025	1414	675	716	566	3919	1431	1468	529	1193	878	958
EDL933_RS00155	287	479	1180	526	771	507	1298	376	1140	1992	668	1415	1047	1637	863	874	639	4131	2102	1850	693	1501	1031	1112
EDL933_RS00160	68	136	311	197	216	179	570	149	250	646	726	706	211	305	210	161	155	922	443	365	161	405	280	302
EDL933_RS00165	176	445	884	599	746	409	594	172	1135	1232	979	946	457	795	361	347	297	1972	959	1097	553	581	339	356
EDL933_RS00175	0	5	9	0	5	0	3	0	30	5	1	2	24	16	2	5	9	23	16	8	2	8	0	0
EDL933_RS00180	109	580	441	1069	1334	1141	174	137	453	2334	72	391	388	489	267	448	478	4657	7843	8903	5412	976	629	708
EDL933_RS00185	138	1216	752	1481	3660	1347	436	237	539	5871	188	874	535	830	1086	1590	1430	11212	19778	22151	13241	613	344	453
EDL933_RS00190	11	42	31	57	135	22	203	74	58	235	85	206	38	45	111	63	38	267	664	713	441	7	22	22
EDL933_RS00195	22	60	53	119	113	36	916	314	246	265	297	478	115	166	440	57	32	212	500	511	284	39	36	41
EDL933_RS00200	19	46	66	35	56	24	354	124	89	117	69	141	65	94	217	13	15	130	143	163	77	36	27	32
EDL933_RS00205	9	28	36	16	32	18	176	38	41	98	28	45	34	51	90	5	6	32	32	41	11	46	13	23
EDL933_RS00210	46	68	177	122	135	116	995	162	795	443	165	317	817	1142	686	140	126	662	373	372	113	242	156	153
EDL933_RS00215	33	74	135	126	124	136	746	91	849	388	136	193	703	844	414	96	100	410	337	276	58	212	125	155
EDL933_RS00220	33	77	129	157	100	122	796	187	777	264	192	316	502	631	479	131	107	524	327	231	82	111	114	127
EDL933_RS00225	3	10	25	24	9	11	134	13	128	17	8	23	85	75	68	6	7	43	20	6	2	24	15	17
EDL933_RS00230	0	5	8	5	7	10	646	111	44	34	36	22	28	23	293	8	13	48	8	13	4	7	9	5
EDL933_RS00235	2	3	32	9	14	9	854	102	50	24	46	42	58	41	373	9	15	79	16	13	11	13	10	10
EDL933_RS00240	8	4	25	9	9	9	1021	125	38	25	43	27	36	41	484	13	17	69	12	8	7	19	12	10
EDL933_RS00245	1	0	18	1	0	1	301	27	10	12	9	7	27	8	145	1	4	17	11	8	2	6	0	10
EDL933_RS00250	8	7	28	8	6	14	481	36	272	47	26	18	208	259	290	48	29	204	40	24	28	38	39	38
EDL933_RS00255	38	65	168	75	62	63	91	27	930	55	27	39	270	282	102	32	41	212	33	62	43	80	56	87
EDL933_RS00260	137	113	544	209	175	157	209	74	2124	131	61	115	620	624	240	99	121	642	130	188	103	201	168	154
EDL933_RS00265	56	145	306	177	242	192	739	154	1048	854	166	457	786	1048	408	124	105	764	617	812	330	290	157	158
EDL933_RS00270	63	134	299	253	257	227	569	182	1447	906	220	472	1401	1278	336	308	254	1703	652	717	322	387	317	270
EDL933_RS00275	85	156	348	260	232	227	599	159	1652	813	200	442	1892	1667	322	333	312	2125	793	765	320	603	456	461
EDL933_RS00280	264	479	1072	622	716	536	1382	375	2400	1510	445	947	2871	3021	949	956	745	5052	1824	1826	640	2308	1597	1730
EDL933_RS00285	474	798	2051	1256	1374	1104	2415	680	2524	3362	812	2053	2482	3045	1515	1375	1081	7240	2526	2615	1005	3513	2813	2813
EDL933_RS00290	939	1570	3598	2478	2684	2139	4445	1102	4832	7041	1587	4237	4455	5356	2872	2342	1909	12179	4533	4727	1883	6499	4902	5071
EDL933_RS00295	789	1120	2476	1741	1956	1494	3046	609	2303	4225	1040	2593	2594	2881	1739	1596	1237	8533	3525	3542	1383	4693	3639	3576
EDL933_RS00300	1806	2258	5425	3812	3896	3088	4899	1029	2287	6935	2941	4017	2606	3441	2644	2627	2173	15048	4464	5435	2356	9335	6936	7093
EDL933_RS00305	1570	2426	5410	3872	4073	3291	6094	1269	7172	8735	3455	5137	7894	7666	3336	3552	2989	21654	6926	7307	2978	9023	6304	6329
EDL933_RS00310	97	128	300	238	238	219	447	120	558	690	214	491	588	756	331	341	225	1491	655	661	288	378	270	318
EDL933_RS00315	24	68	149	71	89	95	189	24	254	375	55	118	435	497	107	207	151	720	585	423	137	276	169	225
EDL933_RS00320	129	149	505	164	256	155	356	123	420	1056	116	401	500	553	256	167	161	948	548	506	224	458	325	438
EDL933_RS00325	313	580	1583	564	1008	783	1109	515	1997	3593	423	1187	2378	2896	867	420	352	2651	1604	1741	898	1763	1115	1357
EDL933_RS00330	74	140	246	257	222	174	793	216	2107	1022	392	704	2363	2499	567	289	241	1383	459	480	216	588	462	521
EDL933_RS00335	41	16	55	24	31	9	504	39	67	33	180	27	45	68	59	28	20	134	17	17	9	279	141	184
EDL933_RS00340	108	76	144	111	82	11	1445	150	176	42	462	52	97	110	111	34	33	186	44	31	23	649	382	514
EDL933_RS00345	158	90	260	170	101	16	991	72	63	16	318	32	50	56	67	11	14	49	10	11	3	526	232	383
EDL933_RS00350	19	32	86	132	40	23	183	15	133	105	77	59	55	74	32	45	59	297	17	35	13	74	69	59
EDL933_RS00355	125	182	450	352	296	192	768	128	694	521	276	330	362	698	331	239	189	1425	446	399	209	810	708	670
EDL933_RS00360	33	49	100	90	81	57	198	17	199	245	48	117	154	240	107	63	40	338	113	105	48	180	132	138
EDL933_RS00365	23	27	58	39	50	38	118	8	102	223	38	112	111	122	70	31	30	191	66	52	28	48	49	35
EDL933_RS00370	33	69	114	87	73	90	145	20	95	375	72	95	83	93	83	14	13	104	43	67	35	72	44	57
EDL933_RS00375	9	32	75	35	53	48	170	36	306	270	76	111	206	300	71	132	118	727	166	193	69	81	51	76
EDL933_RS00380	36	76	136	98	98	99	117	64	461	321	120	152	428	462	76	165	250	1006	564	333	129	177	112	178
EDL933_RS00385	11	13	55	11	31	13	178	391	117	37	183	107	82	143	744	126	290	726	451	201	87	57	18	20
EDL933_RS00390	254	298	802	302	475	172	96	34	94	304	62	60	133	152	70	536	2098	5606	2544	1888	625	436	179	319
EDL933_RS00395	508	572	1873	571	885	346	153	58	183	651	108	107	208	248	132	952	4235	11335	4506	3500	1035	867	359	565
EDL933_RS00400	449	561	1628	549	813	304	111	47	175	514	98	72	180	148	85	748	3866	10900	3209	2494	768	776	313	638
EDL933_RS00405	469	702	1805	556	825	330	99	16	177	437	126	74	155	144	52	642	3124	10335	2610	2165	599	930	355	724
EDL933_RS00410	6	8	16	15	14	8	1	0	6	2	6	2	1	1	2	22	33	82	15	20	15	16	5	11
EDL933_RS00415	11	9	34	14	5	11	52	5	33	12	5	4	31	42	8	44	64	499	53	61	47	21	13	14
EDL933_RS00420	636	673	1586	2138	1208	823	292	78	465	427	204	162	381	409	126	1366	1217	9245	2570	2784	1159	710	392	551
EDL933_RS00425	249	240	547	758	435	270	118	27	180	155	65	49	142	186	41	591	530	3991	1155	1055	437	249	150	197
EDL933_RS00430	47	72	110	104	89	65	31	4	49	35	5	16	43	43	10	114	106	807	296	244	85	59	45	30
EDL933_RS00435	648	1088	2768	2323	1838	1360	3307	1005	2545	2686	2193	2508	1922	2500	1871	737	643	4558	1623	2101	961	2760	1974	2326
EDL933_RS00440	217	271	820	473	520	344	1170	252	2630	2492	753	1145	2437	2591	702	877	779	5037	1583	1635	739	905	733	637
EDL933_RS00445	295	467	1170	727	786	585	1545	369	3008	3465	933	1566	3168	3327	1020	1282	1177	8199	2045	2292	805	1254	1016	909
EDL933_RS00450	109	193	390	263	288	198	547	105	1001	1104	263	536	1071	1226	328	512	501	3227	750	767	259	460	325	286
EDL933_RS00455	287	361	965	630	707	403	1887	314	2055	2588	636	1555	2497	2872	1142	1362	1356	8301	2462	2010	865	1060	726	793
EDL933_RS00460	611	843	2063	1343	1482	1030	2554	492	2300	3602	839	2211	1543	2261	1762	1634	1587	10641	2793	2776	1136	2298	1660	1734
EDL933_RS00465	587	877	2287	1306	1627	1164	2283	453	1697	3699	874	2302	1019	1639	1370	1380	1401	10062	2636	2623	1159	2578	1876	1967
EDL933_RS00470	508	707	1958	1075	1419	853	2241	352	1212	2973	595	1860	588	1101	1171	1235	1212	8663	2507	2282	1005	2197	1660	1769
EDL933_RS00475	508	876	2390	1251	1574	923	2476	458	1410	3499	743	1896	572	1193	1213	1488	1390	10045	3060	2789	1209	2505	1908	1923
EDL933_RS00480	484	670	2050	996	1283	688	2548	355	1638	2740	556	1663	635	1317	1062	1606	1493	10623	3737	2864	1152	1893	1555	1634
EDL933_RS00485	322	511	1292	762	889	606	2074	308	1301	2318	468	1440	678	1045	930	1171	1030	7431	2943	2521	1025	1200	898	969
EDL933_RS00490	644	1006	2271	1560	1732	1234	3055	458	1889	4513	930	2588	858	1645	1265	1823	1489	10444	4506	4239	1683	2170	1827	1756
EDL933_RS00495	538	910	2097	1401	1457	998	2604	389	1746	3804	1276	2350	920	1733	1131	1657	1398	10489	4060	3795	1506	1863	1644	1593
EDL933_RS00500	436	624	1594	1002	1116	744	2364	262	2350	3222	967	1766	1651	2601	979	1659	1473	10492	3915	3513	1386	1580	1534	1355
EDL933_RS00505	604	819	2042	1422	1419	1075	3374	460	3850	4434	1510	2283	3118	4665	1662	2260	2116	13236	4967	4513	1895	2341	1902	1707
EDL933_RS00510	1256	1875	3806	3363	3258	2672	5928	1067	5776	7028	3325	4122	3764	5456	2979	3576	3187	22031	6145	7152	3327	5160	3783	3745
EDL933_RS00515	1724	2486	6025	4230	4346	3752	10979	3133	24771	12265	6869	8033	17252	21312	7742	8941	6489	42438	11065	11859	5678	7737	5828	6076
EDL933_RS00520	213	425	862	467	656	470	1582	300	2913	2133	418	988	3780	4701	1104	1037	718	5137	1987	1880	821	1280	948	904
EDL933_RS00525	2075	3128	7422	4386	5262	4321	7987	1454	9630	13212	3672	7031	10929	15261	5333	4353	3522	26294	9967	10741	5214	10083	7609	7989
EDL933_RS00530	51	81	219	125	135	103	241	43	215	431	77	245	271	328	150	136	100	882	498	488	232	271	197	193
EDL933_RS00535	43	88	223	151	160	123	288	73	308	504	103	271	301	359	155	179	136	1122	437	447	166	224	182	208
EDL933_RS00540	58	99	255	200	218	156	336	87	420	669	154	364	421	482	227	235	211	1396	521	558	240	258	241	235
EDL933_RS00545	123	241	467	337	430	288	622	149	930	1111	305	628	883	1022	395	364	353	2296	797	903	370	534	421	384
EDL933_RS00550	47	95	266	133	168	110	290	80	636	374	161	256	665	635	207	210	224	1171	343	416	198	311	181	192
EDL933_RS00555	153	237	494	368	417	403	497	169	1254	1446	622	602	1043	1050	308	211	193	1486	415	501	327	521	235	288
EDL933_RS00560	11	17	71	40	50	50	98	61	295	147	71	84	264	306	49	136	98	599	108	98	76	99	58	51
EDL933_RS00565	1	8	33	14	31	25	36	18	119	59	19	21	123	135	24	29	58	289	73	41	35	45	28	25
EDL933_RS00570	1	3	7	5	1	9	16	6	24	9	5	9	46	34	8	17	7	66	17	9	0	14	8	7
EDL933_RS00575	26	34	111	110	70	69	83	22	157	143	90	70	191	155	54	94	74	507	133	104	80	178	144	97
EDL933_RS00580	98	164	461	350	328	266	370	105	875	786	482	408	865	756	280	379	322	1796	555	583	258	656	442	434
EDL933_RS00585	67	73	175	242	172	123	337	203	399	741	720	631	372	343	327	293	229	1535	344	448	218	210	158	110
EDL933_RS00590	64	101	208	275	189	178	369	202	515	712	759	454	371	434	317	436	388	2531	750	854	375	290	281	233
EDL933_RS00595	405	543	1086	1029	813	585	352	207	684	707	297	318	511	602	246	1824	1880	12782	5761	8662	4304	1358	1072	1167
EDL933_RS00600	426	1370	2513	5053	3301	4318	8764	1331	1410	8187	3336	7189	1282	1305	4117	6634	5331	35603	9316	8029	3861	4575	3892	4394
EDL933_RS00605	28641	49827	85386	107210	99034	87788	123913	30716	9543	246361	65500	150328	7513	13428	70513	47036	45761	285465	92930	125135	56979	184426	146486	146891
EDL933_RS00610	18202	29471	52551	50701	53136	44965	65396	18291	4320	160525	40882	84382	2786	5456	35331	22006	22987	136009	59599	78176	33982	95977	77050	76363
EDL933_RS00615	20611	26083	56450	39016	48732	38096	55772	17539	12754	120361	44275	55884	8523	14019	26134	19624	20738	133763	54120	69009	32378	87833	67668	67851
EDL933_RS00620	74	121	254	107	223	179	182	38	286	698	78	159	237	267	82	160	174	1026	508	411	233	277	211	222
EDL933_RS00625	5896	5273	15827	6079	8717	6033	9215	2310	5481	12395	9185	9151	3883	5855	4726	8090	9045	60099	12225	13912	6712	21537	14474	15004
EDL933_RS00630	106	135	294	360	285	229	363	147	788	637	500	599	506	702	212	223	188	1078	337	261	172	374	266	327
EDL933_RS00635	463	795	2428	738	1147	759	1277	267	1313	4910	502	1517	1145	1322	739	512	529	3814	4061	5055	2309	2138	1265	1519
EDL933_RS00640	480	831	2618	742	1246	920	1394	302	1406	5265	580	1566	1228	1400	860	610	619	4609	4130	5573	2461	2120	1313	1471
EDL933_RS00645	67	192	458	210	272	148	374	107	1181	510	198	401	873	948	193	442	389	2205	594	498	281	702	506	531
EDL933_RS00650	75	132	335	216	251	190	516	143	972	1090	471	401	846	948	331	405	359	2170	543	613	302	348	236	318
EDL933_RS00655	866	1451	3953	1821	3078	3481	2866	605	1101	6865	1073	1364	834	1561	1984	4105	4651	33350	8665	10977	4866	8007	7013	6882
EDL933_RS00660	212	328	877	647	659	640	1720	424	1481	3539	1321	1835	1135	1402	1031	794	593	4225	1370	1819	767	1047	794	750
EDL933_RS00665	480	786	1796	1178	1460	1206	1868	452	3107	3899	1601	1543	1693	2324	1104	2985	2350	17348	2878	3890	1742	2790	2074	1743
EDL933_RS00670	159	290	689	377	485	430	614	162	486	1533	636	657	496	597	454	386	309	1901	864	1066	394	990	770	721
EDL933_RS00675	167	219	551	286	358	274	505	144	529	983	401	355	436	593	365	347	312	2095	679	711	279	849	631	622
EDL933_RS00680	80	70	237	166	141	118	215	68	459	381	109	227	374	560	161	170	129	936	331	324	96	318	241	237
EDL933_RS00685	72	145	303	221	238	126	386	157	1195	496	137	283	1003	1364	223	288	221	1290	595	545	262	524	289	397
EDL933_RS00690	140	291	623	372	438	390	494	157	689	723	359	378	595	747	277	302	266	1898	662	771	474	1007	564	624
EDL933_RS00695	58	104	217	150	154	127	213	93	878	303	162	160	771	1024	154	289	294	1611	360	318	246	294	183	211
EDL933_RS00700	267	445	999	631	650	571	1467	429	4542	1765	1002	1184	4157	4688	783	1557	1158	7381	1601	1807	861	1426	1074	1071
EDL933_RS00705	169	285	707	411	417	392	683	192	1500	1170	604	694	1371	1352	391	445	381	3170	638	902	356	884	714	619
EDL933_RS00710	37	56	136	54	108	83	317	80	670	358	130	142	686	789	153	460	388	1998	525	508	276	255	160	183
EDL933_RS00715	9	11	53	21	11	35	80	21	261	121	46	22	233	315	38	109	56	332	129	142	58	45	36	48
EDL933_RS00720	21	34	102	37	41	46	125	36	401	167	46	43	398	442	88	100	65	545	177	158	62	119	70	99
EDL933_RS00725	11	27	79	14	31	29	75	11	210	144	31	50	239	302	40	70	76	320	159	123	52	85	48	59
EDL933_RS00730	27	38	114	33	47	41	126	32	507	188	32	55	514	548	85	114	134	694	146	155	74	102	86	103
EDL933_RS00735	5	6	15	5	8	10	9	5	67	33	7	5	70	88	12	7	9	69	26	13	11	9	6	2
EDL933_RS00740	0	8	9	8	11	18	23	1	33	36	7	14	9	19	11	8	5	35	32	35	13	18	4	3
EDL933_RS00745	40	83	193	152	181	152	227	36	226	338	61	129	272	247	139	174	160	1258	491	488	204	243	193	223
EDL933_RS00750	376	922	1783	1159	1612	1314	1717	297	1650	3022	493	1105	1342	1380	1061	952	806	6712	2582	2818	1309	2338	1496	1737
EDL933_RS00755	48	79	216	94	140	100	265	33	476	277	33	132	536	517	166	168	154	1133	448	448	193	332	232	272
EDL933_RS00760	384	581	1398	1076	1036	745	1990	481	1951	4206	1890	2532	1578	2079	1195	918	835	6581	1570	1891	935	2653	2030	1878
EDL933_RS00765	148	227	501	593	543	369	1136	464	1845	1672	1168	1129	1648	2122	675	573	563	3545	703	682	424	1580	1267	1191
EDL933_RS00770	28	43	112	80	92	49	194	33	275	296	110	162	240	265	132	118	85	717	199	179	106	201	118	105
EDL933_RS00775	109	195	477	257	292	198	951	167	1448	1064	354	613	1464	1735	691	634	643	3521	1037	1053	491	633	446	436
EDL933_RS00780	65	112	207	133	156	93	340	100	426	420	142	291	485	634	292	238	190	1154	523	583	201	315	200	257
EDL933_RS00785	442	779	1554	1081	1322	945	1921	441	2088	2574	929	1736	2109	2703	1485	1346	1060	7257	2408	2732	1183	2285	1393	1726
EDL933_RS00790	442	712	1595	1895	1514	1465	2278	551	4678	4057	2090	3270	6232	4485	1525	3810	3533	23315	6036	6931	3693	6935	5429	6691
EDL933_RS00795	106	162	416	360	277	217	631	93	655	441	196	568	1048	1020	533	676	650	4124	1035	1027	551	1248	1027	1243
EDL933_RS00800	82	165	384	368	295	220	646	71	389	373	179	643	579	684	612	764	568	3684	1169	1083	473	1034	945	1151
EDL933_RS00805	136	257	560	411	463	394	819	86	340	654	274	855	408	466	667	1092	840	4726	2035	1717	766	1486	1246	1498
EDL933_RS00810	188	361	683	539	520	495	1194	292	1679	2508	846	1358	1194	1612	684	689	556	4347	1292	1629	854	826	543	605
EDL933_RS00815	77	179	310	340	281	238	882	219	1409	898	321	630	1346	1766	709	449	455	2871	665	719	337	641	530	526
EDL933_RS00820	335	522	1242	725	1025	596	1557	502	3908	2029	1122	1130	2181	3118	982	1225	1021	6822	1374	1456	986	1729	1121	1320
EDL933_RS00825	50	55	183	122	137	108	249	53	762	389	90	155	625	730	146	206	157	1220	376	340	174	196	139	134
EDL933_RS00830	92	139	319	202	230	247	565	145	608	840	239	428	541	585	268	299	245	1780	538	664	287	438	329	273
EDL933_RS00835	204	290	578	611	534	542	932	207	1104	1728	761	1013	829	857	470	408	398	2956	655	966	539	796	623	516
EDL933_RS00840	72	108	242	216	202	183	318	114	319	841	640	361	192	263	183	155	144	950	241	292	149	367	299	268
EDL933_RS00845	6068	7113	15744	8574	12372	8769	6009	541	820	12081	4792	3061	262	477	1443	356	319	2673	1654	1672	696	21197	16434	15878
EDL933_RS00850	273	283	707	279	450	307	259	30	206	739	183	216	171	215	97	105	85	418	250	149	70	835	723	610
EDL933_RS00855	183	186	469	434	312	214	613	334	638	1220	1409	798	422	519	333	450	331	3043	641	892	450	571	468	409
EDL933_RS00860	571	957	2023	2178	1897	1585	2224	714	1296	4312	4031	3444	699	1080	1171	1342	1289	8736	2232	3087	1558	2423	1684	1631
EDL933_RS00865	225	357	735	518	538	578	728	336	2311	985	462	507	2720	2915	529	717	576	3847	789	893	440	1448	1229	1134
EDL933_RS00870	278	580	1067	1161	1084	998	1774	632	2727	3140	1498	2428	2795	2723	1233	947	690	4560	1689	2222	1063	1868	1387	1362
EDL933_RS00875	7465	11255	27488	23769	21336	21197	21697	4125	9311	112479	15113	47149	8556	12782	13963	9922	8838	65718	41000	53323	26308	24194	17668	18108
EDL933_RS00880	3076	4901	10280	10622	9509	9272	8424	1468	2934	49759	6369	20997	3078	4448	5347	3429	2984	23435	15215	19952	10186	10626	7555	8083
EDL933_RS00885	598	818	2132	1426	1614	1557	1952	411	1694	9768	937	2583	1815	2329	1293	974	761	6251	4324	4312	2395	2486	1816	1902
EDL933_RS00890	985	1722	3702	2512	2995	2611	3637	1226	3957	12351	4023	5194	3350	4166	2451	1817	1363	10485	4778	5841	3101	4737	3367	3622
EDL933_RS00895	304	555	1308	721	924	782	1520	290	2105	2221	411	826	1929	2388	773	834	686	4368	1574	1682	832	1585	1020	1252
EDL933_RS00900	649	952	2391	1287	1405	1108	3431	670	1929	4950	1129	2105	1252	1956	2235	1930	1533	11651	5412	5163	2799	2536	1843	2068
EDL933_RS00905	493	745	1654	908	1032	823	2066	435	1277	3311	795	1291	878	1152	1260	1454	1059	9255	3687	3449	1833	2078	1589	1727
EDL933_RS00910	1848	2373	5646	3118	3819	2521	6609	906	2107	8432	2343	3948	1668	2344	3272	3075	2606	19014	8394	7878	3407	7176	5406	5456
EDL933_RS00915	7210	8957	20050	14632	15122	10558	17537	3013	5499	28537	10213	13340	4243	6530	8078	8310	7582	54498	21430	22338	10230	26449	19690	19998
EDL933_RS00920	2213	3104	7045	5966	6123	4272	6951	1412	2671	9934	4102	6046	1896	3013	3107	3207	3128	22093	6848	9154	4215	8973	6594	6499
EDL933_RS00925	2122	3517	8443	5676	6851	4337	7754	1195	3832	10570	2102	5631	2890	3860	3414	3801	3529	25498	8450	10746	4978	10510	7516	7278
EDL933_RS00930	832	1545	3273	1891	2464	1746	4242	788	2189	6776	1368	4168	2020	2231	2265	1628	1569	9335	5010	5448	2183	3302	2327	2409
EDL933_RS00935	710	1014	2431	1406	1751	1314	2950	592	1480	4681	931	2843	1167	1419	1716	1364	1207	8523	3644	4304	1916	2575	2095	2016
EDL933_RS00940	258	378	1037	533	749	525	1892	269	1121	1646	260	933	1239	1349	965	1204	1051	6967	3091	2927	1255	1066	943	932
EDL933_RS00945	173	287	763	322	480	347	1167	188	604	1232	200	698	755	930	681	693	595	3865	1929	1736	716	787	641	637
EDL933_RS00950	1172	1817	5165	2105	3007	1806	5283	809	2258	8342	1391	4045	2338	3263	2887	3076	2437	16519	9659	9777	3981	4766	3548	3640
EDL933_RS00955	911	1433	3120	1873	2218	1485	2559	560	1789	7224	1746	3039	1281	1730	1335	1012	873	6626	3856	4976	2132	3540	2418	2428
EDL933_RS00960	104	132	369	157	200	161	511	150	1007	476	153	183	885	1337	423	190	233	1475	467	455	206	790	529	651
EDL933_RS00965	34	73	163	90	122	74	275	74	592	289	102	137	521	720	174	158	183	959	200	236	141	248	232	278
EDL933_RS00970	92	147	316	196	249	214	588	172	1350	718	189	356	1372	1642	333	431	439	2722	669	692	308	514	388	502
EDL933_RS00975	61	67	139	130	98	96	376	173	927	524	572	445	696	779	256	289	294	1827	425	488	256	310	230	273
EDL933_RS00980	61	73	149	129	124	91	326	202	850	563	711	540	609	797	313	308	324	1663	409	458	272	288	197	231
EDL933_RS00985	26	88	128	174	159	137	356	125	781	747	253	360	638	764	240	126	89	689	328	303	150	309	175	237
EDL933_RS00990	16	79	148	190	129	160	347	113	808	803	304	428	924	1175	246	154	121	803	382	377	166	370	233	240
EDL933_RS00995	34	100	190	180	208	199	353	124	1073	765	384	352	1478	1555	274	208	209	1246	454	481	273	482	317	341
EDL933_RS01000	7	20	37	51	34	38	133	22	497	72	25	40	754	754	80	116	65	495	181	99	92	76	65	77
EDL933_RS01005	765	1420	2677	2736	2618	2168	2777	529	2698	5291	1271	3700	2237	2484	1728	1210	1047	8008	3153	4138	1826	3535	2373	2496
EDL933_RS01010	73	169	289	211	220	190	354	108	520	601	176	255	650	569	182	211	166	1256	394	471	241	493	357	383
EDL933_RS01015	121	229	469	345	383	354	420	173	530	825	353	431	663	641	255	274	249	1577	453	538	266	738	494	523
EDL933_RS01020	248	431	673	999	749	575	664	177	509	1320	507	436	443	508	370	1366	1905	14226	1731	1745	1016	1054	644	687
EDL933_RS01025	104	168	289	533	304	247	297	75	311	625	260	236	267	324	177	763	960	8192	622	567	321	438	317	354
EDL933_RS01030	45	80	139	473	173	171	170	33	274	320	106	127	216	255	102	652	681	6903	173	147	106	211	228	181
EDL933_RS01035	132	169	297	397	288	268	804	316	888	1029	778	897	778	823	527	458	326	2502	621	883	408	480	353	328
EDL933_RS01040	201665	70390	244338	330722	112723	85143	258726	222136	266123	157235	436929	262572	382604	264845	290052	267373	212899	1055713	269807	256984	145026	159606	96542	110689
